INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
CU2510,D,85490,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2100.00001,20251009
CU2510,D,86040,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2760.00001,20251009
CU2511,D,85420,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2040.00001,20251009
CU2511,D,85920,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2640.00001,20251009
CU2512,D,85440,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2050.00001,20251009
CU2512,D,85950,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2670.00001,20251009
CU2601,D,85470,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2110.00001,20251009
CU2601,D,85900,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2660.00001,20251009
CU2602,D,85440,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2170.00001,20251009
CU2602,D,85730,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2550.00001,20251009
CU2603,D,85370,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2100.00001,20251009
CU2603,D,85740,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2620.00001,20251009
CU2604,D,85460,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2180.00001,20251009
CU2604,D,86060,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2960.00001,20251009
CU2605,D,85400,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2150.00001,20251009
CU2605,D,85860,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2760.00001,20251009
CU2606,D,85300,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2130.00001,20251009
CU2606,D,85890,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2830.00001,20251009
CU2607,D,85350,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2310.00001,20251009
CU2607,D,85640,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2690.00001,20251009
CU2608,D,84930,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2100.00001,20251009
CU2608,D,85310,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2460.00001,20251009
CU2609,D,84990,2025100910:15:00,20251009,9:00-10:15,20251009,cu_f,2010.00001,20251009
CU2609,D,85410,2025100915:00:00,20251009,9:00-15:00,20251009,cu_f,2480.00001,20251009
BC2510,D,76060,2025100910:15:00,20251009,9:00-10:15,20251009,bc_f,2000.00001,20251009
BC2510,D,76060,2025100915:00:00,20251009,9:00-15:00,20251009,bc_f,2100.00001,20251009
BC2511,D,76070,2025100910:15:00,20251009,9:00-10:15,20251009,bc_f,1850.00001,20251009
BC2511,D,76560,2025100915:00:00,20251009,9:00-15:00,20251009,bc_f,2450.00001,20251009
BC2512,D,76330,2025100910:15:00,20251009,9:00-10:15,20251009,bc_f,1960.00001,20251009
BC2512,D,76870,2025100915:00:00,20251009,9:00-15:00,20251009,bc_f,2640.00001,20251009
BC2601,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,bc_f,0,20251009
