INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
CU2511,D,85420,2025100910:15:00,,9:00-10:15,,cu_f,2040.00001,20251009
CU2511,D,85920,2025100915:00:00,,9:00-15:00,,cu_f,2640.00001,20251009
BC2511,D,76070,2025100910:15:00,,9:00-10:15,,bc_f,1850.00001,20251009
BC2511,D,76560,2025100915:00:00,,9:00-15:00,,bc_f,2450.00001,20251009
AL2511,D,20980,2025100910:15:00,,9:00-10:15,,al_f,240.00001,20251009
AL2511,D,21005,2025100915:00:00,,9:00-15:00,,al_f,285.00001,20251009
ZN2511,D,22140,2025100910:15:00,,9:00-10:15,,zn_f,160.00001,20251009
ZN2511,D,22200,2025100915:00:00,,9:00-15:00,,zn_f,300.00001,20251009
PB2511,D,16945,2025100910:15:00,,9:00-10:15,,pb_f,15.00001,20251009
PB2511,D,17040,2025100915:00:00,,9:00-15:00,,pb_f,120.00001,20251009
NI2511,D,122130,2025100910:15:00,,9:00-10:15,,ni_f,480.00001,20251009
NI2511,D,123120,2025100915:00:00,,9:00-15:00,,ni_f,1880.00001,20251009
SN2511,D,283880,2025100910:15:00,,9:00-10:15,,sn_f,3970.00001,20251009
SN2511,D,285080,2025100915:00:00,,9:00-15:00,,sn_f,7680.00001,20251009
AO2601,D,2870,2025100910:15:00,,9:00-10:15,,ao_f,-8.99999,20251009
AO2601,D,2871,2025100915:00:00,,9:00-15:00,,ao_f,-3.99999,20251009
AD2512,D,20500,2025100910:15:00,,9:00-10:15,,ad_f,205.00001,20251009
AD2512,D,20540,2025100915:00:00,,9:00-15:00,,ad_f,280.00001,20251009
AU2512,D,911.9,2025100910:15:00,,9:00-10:15,,au_f,37.64001,20251009
AU2512,D,912.98,2025100915:00:00,,9:00-15:00,,au_f,36.84001,20251009
AG2512,D,11199,2025100910:15:00,,9:00-10:15,,ag_f,258.00001,20251009
AG2512,D,11209,2025100915:00:00,,9:00-15:00,,ag_f,249.00001,20251009
RB2601,D,3084,2025100910:15:00,,9:00-10:15,,rb_f,-12.99999,20251009
RB2601,D,3087,2025100915:00:00,,9:00-15:00,,rb_f,3.00001,20251009
WR2601,D,3320,2025100910:15:00,,9:00-10:15,,wr_f,15.00001,20251009
WR2601,D,3320,2025100915:00:00,,9:00-15:00,,wr_f,13.00001,20251009
HC2601,D,3270,2025100910:15:00,,9:00-10:15,,hc_f,-11.99999,20251009
HC2601,D,3273,2025100915:00:00,,9:00-15:00,,hc_f,6.00001,20251009
SS2512,D,12775,2025100910:15:00,,9:00-10:15,,ss_f,-29.99999,20251009
SS2512,D,12820,2025100915:00:00,,9:00-15:00,,ss_f,40.00001,20251009
SC2511,D,467.9,2025100910:15:00,,9:00-10:15,,sc_f,-9.69999,20251009
SC2511,D,468.7,2025100915:00:00,,9:00-15:00,,sc_f,-9.59999,20251009
LU2512,D,3337,2025100910:15:00,,9:00-10:15,,lu_f,-60.99999,20251009
LU2512,D,3341,2025100915:00:00,,9:00-15:00,,lu_f,-57.99999,20251009
FU2601,D,2807,2025100910:15:00,,9:00-10:15,,fu_f,-54.99999,20251009
FU2601,D,2813,2025100915:00:00,,9:00-15:00,,fu_f,-51.99999,20251009
BU2511,D,3379,2025100910:15:00,,9:00-10:15,,bu_f,-38.99999,20251009
BU2511,D,3376,2025100915:00:00,,9:00-15:00,,bu_f,-42.99999,20251009
BR2512,D,11210,2025100910:15:00,,9:00-10:15,,br_f,75.00001,20251009
BR2512,D,11235,2025100915:00:00,,9:00-15:00,,br_f,95.00001,20251009
RU2601,D,15270,2025100910:15:00,,9:00-10:15,,ru_f,100.00001,20251009
RU2601,D,15325,2025100915:00:00,,9:00-15:00,,ru_f,185.00001,20251009
NR2512,D,12345,2025100910:15:00,,9:00-10:15,,nr_f,120.00001,20251009
NR2512,D,12385,2025100915:00:00,,9:00-15:00,,nr_f,175.00001,20251009
SP2511,D,4830,2025100910:15:00,,9:00-10:15,,sp_f,-29.99999,20251009
SP2511,D,4812,2025100915:00:00,,9:00-15:00,,sp_f,-31.99999,20251009
OP2601,D,4210,2025100910:15:00,,9:00-10:15,,op_f,-23.99999,20251009
OP2601,D,4214,2025100915:00:00,,9:00-15:00,,op_f,-15.99999,20251009
EC2512,D,1598.4,2025100910:15:00,,9:00-10:15,,ec_f,-122.69999,20251009
EC2512,D,1619.9,2025100915:00:00,,9:00-15:00,,ec_f,-98.79999,20251009
CU2511,D,86570,2025101010:15:00,,9:00-10:15,,cu_f,1150.00001,20251010
CU2511,D,86310,2025101015:00:00,,9:00-15:00,,cu_f,390.00001,20251010
BC2511,D,76860,2025101010:15:00,,9:00-10:15,,bc_f,790.00001,20251010
BC2511,D,76650,2025101015:00:00,,9:00-15:00,,bc_f,90.00001,20251010
AL2511,D,21075,2025101010:15:00,,9:00-10:15,,al_f,95.00001,20251010
AL2511,D,21030,2025101015:00:00,,9:00-15:00,,al_f,25.00001,20251010
ZN2511,D,22365,2025101010:15:00,,9:00-10:15,,zn_f,225.00001,20251010
ZN2511,D,22325,2025101015:00:00,,9:00-15:00,,zn_f,125.00001,20251010
PB2511,D,17120,2025101010:15:00,,9:00-10:15,,pb_f,175.00001,20251010
PB2511,D,17120,2025101015:00:00,,9:00-15:00,,pb_f,80.00001,20251010
NI2511,D,123110,2025101010:15:00,,9:00-10:15,,ni_f,980.00001,20251010
NI2511,D,122720,2025101015:00:00,,9:00-15:00,,ni_f,-399.99999,20251010
SN2511,D,288220,2025101010:15:00,,9:00-10:15,,sn_f,4340.00001,20251010
SN2511,D,287280,2025101015:00:00,,9:00-15:00,,sn_f,2200.00001,20251010
AO2601,D,2865,2025101010:15:00,,9:00-10:15,,ao_f,-4.99999,20251010
AO2601,D,2858,2025101015:00:00,,9:00-15:00,,ao_f,-12.99999,20251010
AD2512,D,20600,2025101010:15:00,,9:00-10:15,,ad_f,100.00001,20251010
AD2512,D,20560,2025101015:00:00,,9:00-15:00,,ad_f,20.00001,20251010
AU2512,D,905.4,2025101010:15:00,,9:00-10:15,,au_f,-6.49999,20251010
AU2512,D,903.68,2025101015:00:00,,9:00-15:00,,au_f,-9.29999,20251010
AG2512,D,11083,2025101010:15:00,,9:00-10:15,,ag_f,-115.99999,20251010
AG2512,D,11060,2025101015:00:00,,9:00-15:00,,ag_f,-148.99999,20251010
RB2601,D,3102,2025101010:15:00,,9:00-10:15,,rb_f,18.00001,20251010
