REGROWS,STARTDATE,GRADENAME,DELIVERYPLACEID,DELIVERYPLACENAME,REGIONNAMEEN,COMMODITYNAMEEN,REGIONID,PREMIUMSTYLE,WAREHOUSEABBREN,WEIGHTUNIT,CURRENCY,WAREHOUSEID,DELIVERYPLACENAMEEN,PREMIUM,GRADENAMEEN,GRADEID,COMMODITYNAME,WAREHOUSETYPE,REGIONNAME,ENDDATE,WHROWS,CMROWS,WAREHOUSEABBR,COMMODITYID,trade_date,BRANDID,BRDGRDENAME
1,2021/09/25,,570001,"镇江惠龙长江港务有限公司$$Zhenjiang Huilong Changjiang Port Services Co., Ltd.",,,009,0,,2,CNY,570,,0,,,螺纹钢$$REBAR,2,江苏$$Jiangsu,-,1,1,鞍钢股份$$Angang Steel,rb,20251009,,
1,2025/08/06,,590001,中储南京$$Zhongchu Nanjing,,,009,0,,2,CNY,590,,0,,,螺纹钢$$REBAR,2,江苏$$Jiangsu,-,1,1,杭钢国贸$$Hanggang Iron Steel,rb,20251009,,
1,2025/08/06,,589001,中储南京$$Zhongchu Nanjing,,,009,0,,2,CNY,589,,0,,,螺纹钢$$REBAR,2,江苏$$Jiangsu,-,1,1,南钢股份$$Nanjing Steel,rb,20251009,,
1,2025/08/06,,591001,广州港物流$$Guangzhou Port Logistics,,,018,0,,2,CNY,591,,0,,,螺纹钢$$REBAR,2,广东$$Guangdong,-,1,1,欧冶云商$$Ouyeel,rb,20251009,,
1,2021/09/25,,571001,"镇江惠龙长江港务有限公司$$Zhenjiang Huilong Changjiang Port Services Co., Ltd.",,,009,0,,2,CNY,571,,0,,,螺纹钢$$REBAR,2,江苏$$Jiangsu,-,1,1,沙钢集团$$SHAGANG GROUP,rb,20251009,,
1,2021/12/02,,573001,"镇江惠龙长江港务有限公司$$Zhenjiang Huilong Changjiang Port Services Co., Ltd.",,,009,0,,2,CNY,573,,0,,,螺纹钢$$REBAR,2,江苏$$Jiangsu,-,1,1,镔钢集团$$BINXIN STEEL GROUP,rb,20251009,,
1,2025/08/06,,590001,中储南京$$Zhongchu Nanjing,,,009,0,,2,CNY,590,,0,,,热轧卷板$$HOT ROLLED COILS,2,江苏$$Jiangsu,-,3,1,杭钢国贸$$Hanggang Iron Steel,hc,20251009,,
2,2025/10/06,,590002,湖州升华库$$Huzhou Shenghua,,,010,0,,2,CNY,590,,40,,,热轧卷板$$HOT ROLLED COILS,2,浙江$$Zhejiang,2025/10/16,3,1,杭钢国贸$$Hanggang Iron Steel,hc,20251009,,
2,2025/10/06,,590004,宁波紫达库$$Ningbo Zida,,,010,0,,2,CNY,590,,40,,,热轧卷板$$HOT ROLLED COILS,2,浙江$$Zhejiang,2025/10/16,3,1,杭钢国贸$$Hanggang Iron Steel,hc,20251009,,
1,2025/08/06,,591002,中储西安,,,025,0,,2,CNY,591,,0,,,热轧卷板$$HOT ROLLED COILS,2,陕西$$Shanxi,-,1,1,欧冶云商$$Ouyeel,hc,20251009,,
1,2025/08/06,,592001,五矿东莞$$Minmetals Dongguan,,,018,0,,2,CNY,592,,0,,,不锈钢$$Stainless Steel,2,广东$$Guangdong,-,2,1,宏旺集团$$Hongwang,ss,20251009,,
1,2025/08/06,,592002,五矿无锡$$Minmetals Wuxi,,,009,0,,2,CNY,592,,0,,,不锈钢$$Stainless Steel,2,江苏$$Jiangsu,-,2,1,宏旺集团$$Hongwang,ss,20251009,,
