OPENINTEREST,HIGHESTPRICE,TURNOVER,TASVOLUME,PRODUCTGROUPID,PRODUCTCLASS,CLOSEPRICE,VOLUME,OPENINTERESTCHG,PRODUCTID,PRODUCTNAME,ZD2_CHG,OPENPRICE,ZD1_CHG,SETTLEMENTPRICE,DELIVERYMONTH,PRESETTLEMENTPRICE,LOWESTPRICE,trade_date
25180,86960,816532.45,,cu,1,86730,18980,-6685,cu_f,铜,2820,84800,3510,86040,2510,83220,84760,20251009
221715,87000,5920227.61,,cu,1,86750,137816,7856,cu_f,铜,2650,84610,3490,85910,2511,83260,84610,20251009
177934,87030,4131321.395,,cu,1,86820,96140,20279,cu_f,铜,2690,84940,3570,85940,2512,83250,84700,20251009
60230,87010,1467971.03,,cu,1,86850,34178,5924,cu_f,铜,2680,85000,3630,85900,2601,83220,84650,20251009
27736,86970,401076.795,,cu,1,86750,9356,651,cu_f,铜,2530,84500,3550,85730,2602,83200,84500,20251009
24057,86960,217956.215,,cu,1,86700,5084,719,cu_f,铜,2590,84450,3550,85740,2603,83150,84450,20251009
8987,86920,50004.43,,cu,1,86660,1162,275,cu_f,铜,2990,84790,3590,86060,2604,83070,84700,20251009
8668,86890,95958.005,,cu,1,86690,2235,481,cu_f,铜,2850,84990,3680,85860,2605,83010,84430,20251009
3839,86780,52995.91,,cu,1,86560,1234,468,cu_f,铜,3020,84800,3690,85890,2606,82870,84630,20251009
2260,86670,20640.635,,cu,1,86420,482,260,cu_f,铜,2730,84890,3510,85640,2607,82910,84490,20251009
2051,86650,41463.41,,cu,1,86370,972,547,cu_f,铜,2560,84200,3620,85310,2608,82750,84200,20251009
2013,86630,50393.34,,cu,1,86360,1180,652,cu_f,铜,2570,84220,3520,85410,2609,82840,84220,20251009
564670,,13266541.225,,cu,1,,308819,31427,cu_f,铜,,,,,小计,,,20251009
2280,76200,570.5,,bc,1,76200,15,0,bc_f,铜(BC),2230,76000,2370,76060,2510,73830,76000,20251009
5370,77440,327729.33,,bc,1,77200,8561,457,bc_f,铜(BC),2490,75270,3130,76560,2511,74070,75270,20251009
125,77490,17526.86,,bc,1,77260,456,34,bc_f,铜(BC),2530,76140,2920,76870,2512,74340,75970,20251009
1,,0,,bc,1,76900,0,0,bc_f,铜(BC),3200,,3200,76900,2601,73700,,20251009
0,,0,,bc,1,76900,0,0,bc_f,铜(BC),3200,,3200,76900,2602,73700,,20251009
2,77500,77.47,,bc,1,77500,2,1,bc_f,铜(BC),2920,77440,2950,77470,2603,74550,77440,20251009
0,,0,,bc,1,77000,0,0,bc_f,铜(BC),3600,,3600,77000,2604,73400,,20251009
0,,0,,bc,1,75900,0,0,bc_f,铜(BC),3000,,3000,75900,2605,72900,,20251009
0,,0,,bc,1,75880,0,0,bc_f,铜(BC),2920,,2920,75880,2606,72960,,20251009
0,,0,,bc,1,75800,0,0,bc_f,铜(BC),2900,,2900,75800,2607,72900,,20251009
0,,0,,bc,1,75800,0,0,bc_f,铜(BC),2520,,2520,75800,2608,73280,,20251009
1,,0,,bc,1,75710,0,0,bc_f,铜(BC),2310,,2310,75710,2609,73400,,20251009
7779,,345904.16,,bc,1,,9034,492,bc_f,铜(BC),,,,,小计,,,20251009
15295,21100,153683.95,,al,1,21100,14615,-6435,al_f,铝,285,20875,355,21030,2510,20745,20825,20251009
203280,21095,1677790.8625,,al,1,21090,159723,12749,al_f,铝,250,20900,335,21005,2511,20755,20830,20251009
174169,21100,1134247.395,,al,1,21085,107950,24569,al_f,铝,255,20900,330,21010,2512,20755,20850,20251009
61305,21095,409069.3775,,al,1,21085,38938,3491,al_f,铝,250,20905,325,21010,2601,20760,20855,20251009
25046,21085,129100.135,,al,1,21080,12292,2094,al_f,铝,250,20855,325,21005,2602,20755,20840,20251009
12197,21100,54120.6025,,al,1,21090,5152,1787,al_f,铝,230,20890,315,21005,2603,20775,20880,20251009
4803,21115,19130.41,,al,1,21115,1819,35,al_f,铝,210,20870,295,21030,2604,20820,20870,20251009
2757,21130,7780.26,,al,1,21130,739,55,al_f,铝,225,20925,300,21055,2605,20830,20925,20251009
925,21145,1546.4225,,al,1,21145,147,35,al_f,铝,195,20975,305,21035,2606,20840,20950,20251009
464,21120,579.535,,al,1,21105,55,2,al_f,铝,245,20990,280,21070,2607,20825,20990,20251009
204,21110,305.42,,al,1,21095,29,0,al_f,铝,235,21000,270,21060,2608,20825,21000,20251009
57,21130,610.8625,,al,1,21130,58,26,al_f,铝,250,21040,320,21060,2609,20810,21005,20251009
500502,,3587965.2325,,al,1,,341517,38408,al_f,铝,,,,,小计,,,20251009
7985,22280,51600.275,,zn,1,22280,4655,-1485,zn_f,锌,295,21920,410,22165,2510,21870,21910,20251009
113253,22340,1523506.75,,zn,1,22315,137234,-14525,zn_f,锌,265,22040,380,22200,2511,21935,21950,20251009
72244,22365,656588.7525,,zn,1,22335,59068,696,zn_f,锌,280,22155,385,22230,2512,21950,21975,20251009
18667,22395,176513.95,,zn,1,22370,15872,1711,zn_f,锌,255,22185,385,22240,2601,21985,22020,20251009
4014,22415,24017.695,,zn,1,22400,2155,-98,zn_f,锌,280,22185,390,22290,2602,22010,22055,20251009
