INSTRUMENTID,MARKERPRICE,CHG,PRODUCTGROUPID,NVLFLAG,TIMESHOW,trade_date
sc2511,,,sc,1,00:27:00-00:30:00,20251009
sc2511,466.9,-10.2,sc,1,11:27:00-11:30:00,20251009
sc2511,470.8,-8.7,sc,1,14:57:00-15:00:00,20251009
sc2512,,,sc,1,00:27:00-00:30:00,20251009
sc2512,469.5,-9.7,sc,1,11:27:00-11:30:00,20251009
sc2512,473.1,-8.1,sc,1,14:57:00-15:00:00,20251009
sc2511,466.5,,sc,1,00:27:00-00:30:00,20251010
sc2511,463.8,-3.1,sc,1,11:27:00-11:30:00,20251010
sc2511,462,-8.8,sc,1,14:57:00-15:00:00,20251010
sc2512,468.9,,sc,1,00:27:00-00:30:00,20251010
sc2512,466,-3.5,sc,1,11:27:00-11:30:00,20251010
sc2512,463.9,-9.2,sc,1,14:57:00-15:00:00,20251010
sc2511,446,-20.5,sc,1,00:27:00-00:30:00,20251013
sc2511,452.4,-11.4,sc,1,11:27:00-11:30:00,20251013
sc2511,453.7,-8.3,sc,1,14:57:00-15:00:00,20251013
sc2512,448.4,-20.5,sc,1,00:27:00-00:30:00,20251013
sc2512,454.9,-11.1,sc,1,11:27:00-11:30:00,20251013
sc2512,455,-8.9,sc,1,14:57:00-15:00:00,20251013
sc2511,452.4,6.4,sc,1,00:27:00-00:30:00,20251014
sc2511,450.8,-1.6,sc,1,11:27:00-11:30:00,20251014
sc2511,448.3,-5.4,sc,1,14:57:00-15:00:00,20251014
sc2512,453.5,5.1,sc,1,00:27:00-00:30:00,20251014
sc2512,451.4,-3.5,sc,1,11:27:00-11:30:00,20251014
sc2512,449.3,-5.7,sc,1,14:57:00-15:00:00,20251014
sc2511,444.6,-7.8,sc,1,00:27:00-00:30:00,20251015
sc2511,441.3,-9.5,sc,1,11:27:00-11:30:00,20251015
sc2511,443.3,-5,sc,1,14:57:00-15:00:00,20251015
sc2512,446.1,-7.4,sc,1,00:27:00-00:30:00,20251015
sc2512,443.5,-7.9,sc,1,11:27:00-11:30:00,20251015
sc2512,445.7,-3.6,sc,1,14:57:00-15:00:00,20251015
sc2511,440.2,-4.4,sc,1,00:27:00-00:30:00,20251016
sc2511,442.9,1.6,sc,1,11:27:00-11:30:00,20251016
sc2511,444.1,0.8,sc,1,14:57:00-15:00:00,20251016
sc2512,442.4,-3.7,sc,1,00:27:00-00:30:00,20251016
sc2512,445.6,2.1,sc,1,11:27:00-11:30:00,20251016
sc2512,446.1,0.4,sc,1,14:57:00-15:00:00,20251016
sc2511,439.9,-0.3,sc,1,00:27:00-00:30:00,20251017
sc2511,433.5,-9.4,sc,1,11:27:00-11:30:00,20251017
sc2511,432,-12.1,sc,1,14:57:00-15:00:00,20251017
sc2512,442.4,0,sc,1,00:27:00-00:30:00,20251017
sc2512,436.2,-9.4,sc,1,11:27:00-11:30:00,20251017
sc2512,434.6,-11.5,sc,1,14:57:00-15:00:00,20251017
sc2511,436.7,-3.2,sc,1,00:27:00-00:30:00,20251020
sc2511,435.6,2.1,sc,1,11:27:00-11:30:00,20251020
sc2511,432.9,0.9,sc,1,14:57:00-15:00:00,20251020
sc2512,439.7,-2.7,sc,1,00:27:00-00:30:00,20251020
sc2512,438.4,2.2,sc,1,11:27:00-11:30:00,20251020
sc2512,435.9,1.3,sc,1,14:57:00-15:00:00,20251020
sc2511,432.9,-3.8,sc,1,00:27:00-00:30:00,20251021
sc2511,433.2,-2.4,sc,1,11:27:00-11:30:00,20251021
sc2511,,,sc,0,14:57:00-15:00:00,20251021
sc2512,436,-3.7,sc,1,00:27:00-00:30:00,20251021
sc2512,437.1,-1.3,sc,1,11:27:00-11:30:00,20251021
sc2512,,,sc,0,14:57:00-15:00:00,20251021
