INSTRUMENTID,PARTICIPANTID3,PARTICIPANTID2,PARTICIPANTID1,PARTICIPANTABBR3,PARTICIPANTABBR2,RANK,PARTICIPANTABBR1,CJ2,CJ1,CJ1_CHG,CJ3_CHG,PRODUCTNAME,CJ3,CJ2_CHG,trade_date
cuall,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,-1,期货公司会员/境外特殊经纪参与者,557869,614440,27631,31546,铜,552921,32740,20251009
cuall,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,0,非期货公司会员/境外特殊非经纪参与者,6801,3198,395,-119,铜,11749,-1313,20251009
cu2510,0148      ,0025      ,0049      ,中信期货  ,铜冠金源  ,1,金瑞期货  ,3840,5385,617,-825,铜,2510,-1732,20251009
cu2510,0082      ,0272      ,0163      ,国投期货  ,银河期货  ,2,东证期货  ,3815,4365,1854,-60,铜,2480,-130,20251009
cu2510,0049      ,0004      ,0148      ,金瑞期货  ,国泰君安  ,3,中信期货  ,2650,2840,-1068,-590,铜,2155,-70,20251009
cu2510,0009      ,0148      ,0025      ,五矿期货  ,中信期货  ,4,铜冠金源  ,2145,2617,1583,-185,铜,2120,-475,20251009
cu2510,0025      ,0315      ,0272      ,铜冠金源  ,云晨期货  ,5,银河期货  ,1930,2390,918,645,铜,1480,-270,20251009
cu2510,0058      ,0049      ,0009      ,国贸期货  ,金瑞期货  ,6,五矿期货  ,1430,1915,398,-565,铜,820,-1775,20251009
cu2510,0004      ,0139      ,0321      ,国泰君安  ,中粮期货  ,7,紫金天风  ,1165,1835,1463,120,铜,795,-45,20251009
cu2510,0169      ,0048      ,0004      ,兴业期货  ,长江期货  ,8,国泰君安  ,850,1450,-1661,-715,铜,725,-90,20251009
cu2510,0253      ,0009      ,0003      ,华泰期货  ,五矿期货  ,9,建信期货  ,770,1180,-237,-580,铜,630,-10,20251009
cu2510,0047      ,0299      ,0169      ,迈科期货  ,华安期货  ,10,兴业期货  ,745,995,550,0,铜,595,25,20251009
cu2510,0077      ,0051      ,0253      ,新湖期货  ,华金期货  ,11,华泰期货  ,600,790,522,-40,铜,595,600,20251009
cu2510,0007      ,0240      ,0240      ,东海期货  ,广发期货  ,12,广发期货  ,465,775,-1040,145,铜,585,60,20251009
cu2510,0308      ,0323      ,0082      ,国信期货  ,东吴期货  ,13,国投期货  ,380,770,-77,-280,铜,570,0,20251009
cu2510,0008      ,0081      ,0058      ,上海中期  ,海通期货  ,14,国贸期货  ,365,680,-519,-50,铜,555,60,20251009
cu2510,0163      ,0163      ,0139      ,东证期货  ,东证期货  ,15,中粮期货  ,340,655,-21,-260,铜,535,-55,20251009
cu2510,0103      ,0372      ,0051      ,永安期货  ,中银期货  ,16,华金期货  ,285,600,531,-235,铜,505,-280,20251009
cu2510,0323      ,0059      ,0042      ,东吴期货  ,瑞达期货  ,17,光大期货  ,250,520,-272,-65,铜,480,10,20251009
cu2510,0034      ,0169      ,0268      ,方正中期  ,兴业期货  ,18,中信建投  ,250,478,-595,30,铜,470,0,20251009
cu2510,0321      ,0058      ,0123      ,紫金天风  ,国贸期货  ,19,浙商期货  ,235,473,316,-305,铜,395,-105,20251009
cu2510,0003      ,0018      ,0007      ,建信期货  ,国联期货  ,20,东海期货  ,215,370,125,-270,铜,355,100,20251009
cu2510,,,,,,999,,22725,31083,3387,-4085,铜,19355,-4182,20251009
cu2511,0049      ,0148      ,0148      ,金瑞期货  ,中信期货  ,1,中信期货  ,23830,31045,1388,-281,铜,25612,-2675,20251009
cu2511,0148      ,0004      ,0004      ,中信期货  ,国泰君安  ,2,国泰君安  ,16104,28187,-6245,1544,铜,19897,2468,20251009
cu2511,0004      ,0163      ,0163      ,国泰君安  ,东证期货  ,3,东证期货  ,11756,25960,883,269,铜,11927,962,20251009
cu2511,0163      ,0272      ,0272      ,东证期货  ,银河期货  ,4,银河期货  ,10669,12629,3509,768,铜,9813,-2279,20251009
cu2511,0009      ,0103      ,0275      ,五矿期货  ,永安期货  ,5,中泰期货  ,9431,11702,3266,398,铜,9570,258,20251009
cu2511,0272      ,0277      ,0081      ,银河期货  ,一德期货  ,6,海通期货  ,5828,11516,2740,902,铜,6557,1484,20251009
cu2511,0042      ,0139      ,0253      ,光大期货  ,中粮期货  ,7,华泰期货  ,5728,8472,-1372,301,铜,6075,1227,20251009
cu2511,0058      ,0240      ,0123      ,国贸期货  ,广发期货  ,8,浙商期货  ,5477,8109,891,-414,铜,5567,592,20251009
cu2511,0034      ,0049      ,0240      ,方正中期  ,金瑞期货  ,9,广发期货  ,5419,6188,519,702,铜,5129,93,20251009
cu2511,0253      ,0268      ,0069      ,华泰期货  ,中信建投  ,10,申万期货  ,5115,5914,-567,512,铜,5103,621,20251009
cu2511,0096      ,0082      ,0096      ,南华期货  ,国投期货  ,11,南华期货  ,4694,5141,1435,408,铜,4894,-267,20251009
cu2511,0268      ,0025      ,0058      ,中信建投  ,铜冠金源  ,12,国贸期货  ,4250,4921,1356,411,铜,4466,401,20251009
cu2511,0321      ,0003      ,0049      ,紫金天风  ,建信期货  ,13,金瑞期货  ,4029,4354,-2594,135,铜,4338,953,20251009
cu2511,0003      ,0096      ,0103      ,建信期货  ,南华期货  ,14,永安期货  ,3859,4287,-2068,-516,铜,3846,-215,20251009
cu2511,0077      ,0253      ,0034      ,新湖期货  ,华泰期货  ,15,方正中期  ,3768,4207,-1652,-296,铜,3776,160,20251009
cu2511,0125      ,0323      ,0268      ,物产中大  ,东吴期货  ,16,中信建投  ,3643,3502,-2455,-129,铜,3639,-163,20251009
cu2511,0169      ,0271      ,0009      ,兴业期货  ,渤海期货  ,17,五矿期货  ,3482,3408,-2817,452,铜,3450,-34,20251009
cu2511,0308      ,0161      ,0342      ,国信期货  ,招商期货  ,18,津投期货  ,3301,3359,1013,-121,铜,3417,205,20251009
cu2511,0139      ,0081      ,0308      ,中粮期货  ,海通期货  ,19,国信期货  ,3204,3054,-4650,438,铜,3294,912,20251009
cu2511,0178      ,0059      ,0259      ,弘业期货  ,瑞达期货  ,20,华闻期货  ,3147,3031,1772,-317,铜,3129,508,20251009
cu2511,,,,,,999,,136734,188986,-5648,5166,铜,143499,5211,20251009
cu2512,0049      ,0148      ,0148      ,金瑞期货  ,中信期货  ,1,中信期货  ,31092,25661,7208,3022,铜,20230,1954,20251009
cu2512,0148      ,0004      ,0004      ,中信期货  ,国泰君安  ,2,国泰君安  ,10753,17236,2654,2143,铜,16702,576,20251009
cu2512,0004      ,0239      ,0163      ,国泰君安  ,乾坤期货  ,3,东证期货  ,7676,17169,4385,-1054,铜,9547,-672,20251009
cu2512,0272      ,0163      ,0275      ,银河期货  ,东证期货  ,4,中泰期货  ,7525,11647,5810,82,铜,8099,968,20251009
cu2512,0058      ,0268      ,0253      ,国贸期货  ,中信建投  ,5,华泰期货  ,7087,8357,2581,1146,铜,6240,701,20251009
cu2512,0009      ,0272      ,0123      ,五矿期货  ,银河期货  ,6,浙商期货  ,5936,7717,4332,296,铜,4937,-356,20251009
cu2512,0321      ,0103      ,0259      ,紫金天风  ,永安期货  ,7,华闻期货  ,5229,5503,257,647,铜,4859,-23,20251009
cu2512,0042      ,0323      ,0081      ,光大期货  ,东吴期货  ,8,海通期货  ,5056,4741,367,-274,铜,4627,462,20251009
cu2512,0163      ,0067      ,0096      ,东证期货  ,中财期货  ,9,南华期货  ,4639,4574,2417,1224,铜,4492,344,20251009
cu2512,0178      ,0049      ,0049      ,弘业期货  ,金瑞期货  ,10,金瑞期货  ,4631,4064,518,236,铜,4340,224,20251009
cu2512,0275      ,0123      ,0308      ,中泰期货  ,浙商期货  ,11,国信期货  ,4297,3939,-487,3687,铜,4061,834,20251009
cu2512,0082      ,0277      ,0088      ,国投期货  ,一德期货  ,12,东亚期货  ,3502,3545,1768,240,铜,3919,1436,20251009
cu2512,0253      ,0253      ,0058      ,华泰期货  ,华泰期货  ,13,国贸期货  ,3466,3515,1898,801,铜,3483,946,20251009
cu2512,0308      ,0274      ,0272      ,国信期货  ,中辉期货  ,14,银河期货  ,3438,3386,-223,759,铜,3411,853,20251009
cu2512,0240      ,0082      ,0240      ,广发期货  ,国投期货  ,15,广发期货  ,2983,2993,770,674,铜,3390,299,20251009
cu2512,0034      ,0125      ,0277      ,方正中期  ,物产中大  ,16,一德期货  ,2744,2989,2246,584,铜,3351,317,20251009
cu2512,0277      ,0069      ,0042      ,一德期货  ,申万期货  ,17,光大期货  ,2680,2505,101,317,铜,3259,61,20251009
cu2512,0069      ,0042      ,0342      ,申万期货  ,光大期货  ,18,津投期货  ,2628,2445,1071,102,铜,3196,517,20251009
cu2512,0077      ,0034      ,0069      ,新湖期货  ,方正中期  ,19,申万期货  ,2622,2065,-845,-35,铜,2879,24,20251009
cu2512,0096      ,0240      ,0103      ,南华期货  ,广发期货  ,20,永安期货  ,2516,1982,-1061,21,铜,2824,325,20251009
cu2512,,,,,,999,,120500,136033,35767,14618,铜,117846,9790,20251009
cu2601,0049      ,0004      ,0148      ,金瑞期货  ,国泰君安  ,1,中信期货  ,5029,8107,4267,84,铜,5239,1045,20251009
cu2601,0082      ,0148      ,0163      ,国投期货  ,中信期货  ,2,东证期货  ,4421,6106,1546,68,铜,3783,1327,20251009
cu2601,0272      ,0272      ,0004      ,银河期货  ,银河期货  ,3,国泰君安  ,3708,5843,2666,-21,铜,3196,-11,20251009
cu2601,0253      ,0253      ,0253      ,华泰期货  ,华泰期货  ,4,华泰期货  ,2816,4574,3002,285,铜,3132,2247,20251009
cu2601,0004      ,0069      ,0081      ,国泰君安  ,申万期货  ,5,海通期货  ,2637,3120,2031,-148,铜,2664,-428,20251009
cu2601,0059      ,0323      ,0088      ,瑞达期货  ,东吴期货  ,6,东亚期货  ,2481,2651,1106,365,铜,2372,28,20251009
cu2601,0148      ,0139      ,0069      ,中信期货  ,中粮期货  ,7,申万期货  ,1826,2040,1012,308,铜,2179,112,20251009
cu2601,0096      ,0049      ,0272      ,南华期货  ,金瑞期货  ,8,银河期货  ,1699,2018,680,-524,铜,2122,-278,20251009
cu2601,0042      ,0338      ,0018      ,光大期货  ,广州期货  ,9,国联期货  ,1590,1883,829,-970,铜,1844,2,20251009
cu2601,0163      ,0103      ,0042      ,东证期货  ,永安期货  ,10,光大期货  ,1477,1835,1642,-58,铜,1736,128,20251009
cu2601,0338      ,0003      ,0275      ,广州期货  ,建信期货  ,11,中泰期货  ,1468,1789,913,998,铜,1716,-17,20251009
cu2601,0009      ,0067      ,0077      ,五矿期货  ,中财期货  ,12,新湖期货  ,1464,1786,1130,605,铜,1488,71,20251009
cu2601,0069      ,0136      ,0342      ,申万期货  ,信达期货  ,13,津投期货  ,1293,1765,889,188,铜,1378,9,20251009
cu2601,0034      ,0034      ,0240      ,方正中期  ,方正中期  ,14,广发期货  ,1266,1294,682,495,铜,1294,43,20251009
cu2601,0169      ,0042      ,0308      ,兴业期货  ,光大期货  ,15,国信期货  ,1254,1112,-1090,194,铜,1222,55,20251009
