INSTRUMENTID,TRADEFEERATIO,TTRADEFEERATIO,COMMODITYDELIVFEEUNIT,SPECLONGMARGINRATIO,HEDGLONGMARGINRATIO,COMMODITYDELIVFEERATIO,PRODUCTID,PRODUCTNAME,TTRADEFEEUNIT,TRADEFEEUNIT,HEDGSHORTMARGINRATIO,SETTLEMENTPRICE,UNIDIRECT,SPECSHORTMARGINRATIO,ISUNITODAY,trade_date
cu2510,0.05,0.025,0,0.15,0.15,0,cu_f,铜,0,0,0.15,86040,1,0.15,0,20251009
cu2511,0.05,0.025,0,0.1,0.1,0,cu_f,铜,0,0,0.1,85910,1,0.1,0,20251009
cu2512,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85940,1,0.09,0,20251009
cu2601,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85900,1,0.09,0,20251009
cu2602,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85730,1,0.09,0,20251009
cu2603,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85740,1,0.09,0,20251009
cu2604,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,86060,1,0.09,0,20251009
cu2605,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85860,1,0.09,0,20251009
cu2606,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85890,1,0.09,0,20251009
cu2607,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85640,1,0.09,0,20251009
cu2608,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85310,1,0.09,0,20251009
cu2609,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85410,1,0.09,0,20251009
bc2510,0.01,0.005,0,0.15,0.15,0,bc_f,铜(BC),0,0,0.15,76060,1,0.15,0,20251009
bc2511,0.01,0.005,0,0.1,0.1,0,bc_f,铜(BC),0,0,0.1,76560,1,0.1,0,20251009
bc2512,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76870,1,0.09,0,20251009
bc2601,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76900,1,0.09,0,20251009
bc2602,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76900,1,0.09,0,20251009
bc2603,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,77470,1,0.09,0,20251009
bc2604,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,77000,1,0.09,0,20251009
bc2605,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75900,1,0.09,0,20251009
bc2606,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75880,1,0.09,0,20251009
bc2607,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75800,1,0.09,0,20251009
bc2608,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75800,1,0.09,0,20251009
bc2609,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75710,1,0.09,0,20251009
al2510,0,0,0,0.15,0.15,0,al_f,铝,1.5,3,0.15,21030,1,0.15,0,20251009
al2511,0,0,0,0.1,0.1,0,al_f,铝,1.5,3,0.1,21005,1,0.1,0,20251009
al2512,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21010,1,0.09,0,20251009
al2601,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21010,1,0.09,0,20251009
al2602,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21005,1,0.09,0,20251009
al2603,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21005,1,0.09,0,20251009
al2604,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21030,1,0.09,0,20251009
al2605,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21055,1,0.09,0,20251009
