INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
CU2510,D,85490,2025100910:15:00,,9:00-10:15,,cu_f,2100.00001,20251009
CU2510,D,86040,2025100915:00:00,,9:00-15:00,,cu_f,2760.00001,20251009
BC2510,D,76060,2025100910:15:00,,9:00-10:15,,bc_f,2000.00001,20251009
BC2510,D,76060,2025100915:00:00,,9:00-15:00,,bc_f,2100.00001,20251009
AL2510,D,21020,2025100910:15:00,,9:00-10:15,,al_f,280.00001,20251009
AL2510,D,21030,2025100915:00:00,,9:00-15:00,,al_f,305.00001,20251009
ZN2510,D,22120,2025100910:15:00,,9:00-10:15,,zn_f,200.00001,20251009
ZN2510,D,22170,2025100915:00:00,,9:00-15:00,,zn_f,315.00001,20251009
PB2510,D,16910,2025100910:15:00,,9:00-10:15,,pb_f,-9.99999,20251009
PB2510,D,17025,2025100915:00:00,,9:00-15:00,,pb_f,130.00001,20251009
NI2510,D,121280,2025100910:15:00,,9:00-10:15,,ni_f,-59.99999,20251009
NI2510,D,122090,2025100915:00:00,,9:00-15:00,,ni_f,1150.00001,20251009
SN2510,D,284290,2025100910:15:00,,9:00-10:15,,sn_f,4830.00001,20251009
SN2510,D,284870,2025100915:00:00,,9:00-15:00,,sn_f,7490.00001,20251009
AO2510,D,2814,2025100910:15:00,,9:00-10:15,,ao_f,-17.99999,20251009
AO2510,D,2818,2025100915:00:00,,9:00-15:00,,ao_f,-10.99999,20251009
AD2511,D,20455,2025100910:15:00,,9:00-10:15,,ad_f,220.00001,20251009
AD2511,D,20485,2025100915:00:00,,9:00-15:00,,ad_f,280.00001,20251009
AU2510,D,911.88,2025100910:15:00,,9:00-10:15,,au_f,40.68001,20251009
AU2510,D,912.68,2025100915:00:00,,9:00-15:00,,au_f,38.94001,20251009
AG2510,D,11190,2025100910:15:00,,9:00-10:15,,ag_f,291.00001,20251009
AG2510,D,11193,2025100915:00:00,,9:00-15:00,,ag_f,255.00001,20251009
RB2510,D,2992,2025100910:15:00,,9:00-10:15,,rb_f,-20.99999,20251009
RB2510,D,2998,2025100915:00:00,,9:00-15:00,,rb_f,2.00001,20251009
WR2510,D,0,2025100910:15:00,,9:00-10:15,,wr_f,0,20251009
WR2510,D,0,2025100915:00:00,,9:00-15:00,,wr_f,0,20251009
HC2510,D,3345,2025100910:15:00,,9:00-10:15,,hc_f,-41.99999,20251009
HC2510,D,3352,2025100915:00:00,,9:00-15:00,,hc_f,-23.99999,20251009
SS2510,D,12500,2025100910:15:00,,9:00-10:15,,ss_f,-164.99999,20251009
SS2510,D,12600,2025100915:00:00,,9:00-15:00,,ss_f,-19.99999,20251009
SC2511,D,467.9,2025100910:15:00,,9:00-10:15,,sc_f,-9.69999,20251009
SC2511,D,468.7,2025100915:00:00,,9:00-15:00,,sc_f,-9.59999,20251009
LU2511,D,3319,2025100910:15:00,,9:00-10:15,,lu_f,-63.99999,20251009
LU2511,D,3329,2025100915:00:00,,9:00-15:00,,lu_f,-54.99999,20251009
FU2511,D,2936,2025100910:15:00,,9:00-10:15,,fu_f,-48.99999,20251009
FU2511,D,2934,2025100915:00:00,,9:00-15:00,,fu_f,-59.99999,20251009
BU2510,D,3486,2025100910:15:00,,9:00-10:15,,bu_f,46.00001,20251009
BU2510,D,3470,2025100915:00:00,,9:00-15:00,,bu_f,27.00001,20251009
BR2510,D,11335,2025100910:15:00,,9:00-10:15,,br_f,130.00001,20251009
BR2510,D,11310,2025100915:00:00,,9:00-15:00,,br_f,110.00001,20251009
RU2510,D,0,2025100910:15:00,,9:00-10:15,,ru_f,0,20251009
RU2510,D,14535,2025100915:00:00,,9:00-15:00,,ru_f,275.00001,20251009
NR2510,D,0,2025100910:15:00,,9:00-10:15,,nr_f,0,20251009
NR2510,D,12220,2025100915:00:00,,9:00-15:00,,nr_f,95.00001,20251009
SP2510,D,0,2025100910:15:00,,9:00-10:15,,sp_f,0,20251009
SP2510,D,0,2025100915:00:00,,9:00-15:00,,sp_f,0,20251009
OP2601,D,4210,2025100910:15:00,,9:00-10:15,,op_f,-23.99999,20251009
OP2601,D,4214,2025100915:00:00,,9:00-15:00,,op_f,-15.99999,20251009
