INSTRUMENTID,STRIKECLOSEFEERATIO,TRADEFEERATIO,STRIKEFEEUNIT,EXCHANGEID,STRADEUNITMARGIN,HTRADEUNITMARGIN,TRADINGDAY,STRIKEFEERATIO,PRODUCTID,HTRADEFEERATIO,DISCOUNTRATE,TRADEFEEUNIT,SETTLEMENTPRICE,STRIKECLOSEFEEUNIT,SETTLEMENTGROUPID,HTRADEFEEUNIT,trade_date
sc2511C390,0,0,10,SHFE,130257,125570,20251009,0,sc_o,0,0,10,78.7,0,00000001,5,20251009
sc2511C395,0,0,10,SHFE,125257,120570,20251009,0,sc_o,0,0,10,73.7,0,00000001,5,20251009
sc2511C400,0,0,10,SHFE,120257,115570,20251009,0,sc_o,0,0,10,68.7,0,00000001,5,20251009
sc2511C405,0,0,10,SHFE,115257,110570,20251009,0,sc_o,0,0,10,63.7,0,00000001,5,20251009
sc2511C410,0,0,10,SHFE,110257,105570,20251009,0,sc_o,0,0,10,58.7,0,00000001,5,20251009
sc2511C415,0,0,10,SHFE,105257,100570,20251009,0,sc_o,0,0,10,53.7,0,00000001,5,20251009
sc2511C420,0,0,10,SHFE,100257,95570,20251009,0,sc_o,0,0,10,48.7,0,00000001,5,20251009
sc2511C425,0,0,10,SHFE,95307,90620,20251009,0,sc_o,0,0,10,43.75,0,00000001,5,20251009
sc2511C430,0,0,10,SHFE,90407,85720,20251009,0,sc_o,0,0,10,38.85,0,00000001,5,20251009
sc2511C435,0,0,10,SHFE,85607,80920,20251009,0,sc_o,0,0,10,34.05,0,00000001,5,20251009
sc2511C440,0,0,10,SHFE,80957,76270,20251009,0,sc_o,0,0,10,29.4,0,00000001,5,20251009
sc2511C445,0,0,10,SHFE,76457,71770,20251009,0,sc_o,0,0,10,24.9,0,00000001,5,20251009
sc2511C450,0,0,10,SHFE,72257,67570,20251009,0,sc_o,0,0,10,20.7,0,00000001,5,20251009
sc2511C455,0,0,10,SHFE,68357,63670,20251009,0,sc_o,0,0,10,16.8,0,00000001,5,20251009
sc2511C460,0,0,10,SHFE,64857,60170,20251009,0,sc_o,0,0,10,13.3,0,00000001,5,20251009
sc2511C465,0,0,10,SHFE,61857,57170,20251009,0,sc_o,0,0,10,10.3,0,00000001,5,20251009
sc2511C470,0,0,10,SHFE,58607,53920,20251009,0,sc_o,0,0,10,7.7,0,00000001,5,20251009
sc2511C475,0,0,10,SHFE,54007,49320,20251009,0,sc_o,0,0,10,5.6,0,00000001,5,20251009
sc2511C480,0,0,10,SHFE,49857,45170,20251009,0,sc_o,0,0,10,3.95,0,00000001,5,20251009
